FEATURES_DESC_006A,FACILITY_CARRIED_007,LAT_016,LONG_017,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,ADT_029,APPR_WIDTH_MT_032,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,CHANNEL_COND_061,CULVERT_COND_062,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,PERCENT_ADT_TRUCK_109,Culvert_Damage,SVCYR,ADT,Reconst,PTRUCK
'MURPHY BRANCH           ','SH 154            ',32465412,95161097,1948,2,1260,8.8,17.7,2.1,7,17.7,18.5,5,7,0,0,2011,10,0,7,1260,1,10
'RAINWATER CREEK         ','SH 182            ',32483862,95311207,1951,2,970,6.7,7.4,2.1,7,0,0,5,6,0,0,1978,0,1,40,970,1,0
'GEORGE SLOUGH           ','SH 182            ',32483627,95300379,1951,2,970,6.7,12.8,2.4,8.2,12.8,13.2,6,6,0,0,0,0,1,67,970,0,0
'GLADE CREEK             ','FM 778            ',32455017,95251627,1949,2,810,7.6,11.6,1.8,16.2,2.4,12,7,6,0,0,2011,11,1,7,810,1,11
'STEWART BRANCH          ','FM 778            ',32431272,95220563,1949,2,730,6.7,12.3,1.8,7.9,0,0,6,6,0,0,0,11,1,69,730,0,11
'INDIAN CREEK            ','FM 312            ',32555541,95174019,1947,2,1470,7.3,13.1,2.4,10.7,13.1,13.7,6,7,0,0,2006,9,0,12,1470,1,9
'BUCK CREEK              ','FM 14             ',32470038,95200389,1961,2,1090,7.3,11.1,2.7,17.7,11.1,11.4,6,7,0,0,0,7,0,57,1090,0,7
'SHAM CREEK              ','FM 14             ',32452863,95183163,1961,2,1090,7.3,8.5,2.1,7,0,0,6,6,0,0,0,7,1,57,1090,0,7
'STEWART BRANCH          ','FM 49             ',32430234,95221596,1947,2,1070,7.6,10.7,2.4,7.6,10.7,11.2,7,6,0,0,0,5,1,71,1070,0,5
'PATTON CREEK            ','FM 49             ',32431697,95211209,1949,2,880,7.6,7.6,1.8,11.9,0,0,6,7,0,0,0,5,0,69,880,0,5
'BULL CREEK              ','FM 49             ',32442031,95154083,1955,2,590,6.7,8.5,1.8,10.1,8.5,9,6,6,0,0,0,5,1,63,590,0,5
'HOLLY CREEK             ','FM 49             ',32435314,95121025,1957,2,590,6.1,10.4,2.1,7,10.4,10.9,7,5,0,0,0,5,1,61,590,0,5
'DRY CREEK               ','FM 515            ',32553007,95243740,1949,2,1280,7.3,10.4,1.5,7,10.4,10.8,6,6,0,0,0,9,1,69,1280,0,9
'LITTLE SANDY CREEK      ','FM 515            ',32554601,95211816,1949,2,1580,7.3,9.1,1.8,11.9,9.1,9.5,6,6,0,0,0,9,1,69,1580,0,9
'BIG SANDY CRK(WINNSBORO)','FM 515            ',32555620,95205129,1949,2,1580,8.2,8.7,1.8,24.1,8.7,9.5,8,6,0,0,0,9,1,69,1580,0,9
'LITTLE CANEY CREEK      ','FM 515            ',32533431,95343477,1956,2,2260,8.5,17.9,2.7,8.8,17.9,18.3,6,7,0,0,0,9,0,62,2260,0,9
'CARTER CRK              ','FM 69             ',32512541,95252717,1948,2,790,7.3,17.1,1.8,7.9,17.1,17.7,6,7,0,0,0,9,0,70,790,0,9
'MUDDY CREEK             ','FM 69             ',32510667,95253517,1948,2,790,7.3,17.4,1.8,11.9,17.4,17.7,7,7,0,0,0,9,0,70,790,0,9
'BIG SANDY CREEK         ','FM 852            ',32572558,95201021,1960,2,350,6.4,10.4,2.4,13.4,10.4,10.8,6,6,0,0,0,8,1,58,350,0,8
'CANEY CREEK             ','FM 2088           ',32513490,95101670,1956,2,460,6.1,9.8,2.4,7.9,9.8,10.2,7,6,0,0,0,11,1,62,460,0,11
'CANEY CREEK REL         ','FM 2088           ',32513848,95100130,1956,2,460,6.7,9.8,2.7,17.7,9.8,10.2,8,6,0,0,0,11,1,62,460,0,11
'LANKFORD CREEK          ','FM 779            ',32434653,95331171,1949,2,1710,6.7,10.4,1.8,8.2,10.4,10.8,5,6,0,0,0,9,1,69,1710,0,9
'TURMAN BRANCH           ','FM 779            ',32453110,95283329,1949,2,930,6.7,7.3,1.8,12.2,0,0,6,7,0,0,0,9,0,69,930,0,9
'TURKEY CRK              ','FM 14             ',32505925,95204096,1950,2,750,6.4,10.4,1.8,12.2,10.4,10.8,6,7,0,0,0,6,0,68,750,0,6
'CHICKEN CREEK           ','FM 14             ',32495859,95204144,1950,2,750,7,12.5,1.8,8.2,0,0,6,6,0,0,0,6,1,68,750,0,6
'CARSON CREEK            ','FM 1254           ',32420178,95271733,1951,2,330,7.9,9.8,1.8,8.2,9.8,10.4,6,6,0,0,0,17,1,67,330,0,17
'LEWELLYN CREEK          ','FM 1254           ',32423117,95264773,1951,2,330,7.9,7.3,2.7,14.9,17.1,17.5,6,5,0,0,2007,17,1,11,330,1,17
'EDMOORE CREEK           ','FM 1254           ',32443670,95250381,1951,2,330,7.6,9.4,1.5,7,9.4,10.3,6,5,0,0,0,17,1,67,330,0,17
'BIG SANDY CREEK REL     ','FM 2869           ',32421506,95122932,1970,2,1750,8.8,18.2,2.7,17.4,18.2,18.8,7,7,0,0,1998,11,0,20,1750,1,11
'STOUT CREEK             ','FM 2869           ',32521993,95151526,1976,2,880,7.9,7.4,2.1,11.6,0,0,7,6,0,0,0,11,1,42,880,0,11
'TRIB OF SABINE RIVER    ','SL 564            ',32383548,95282832,2006,2,1880,13.4,13.4,3,6.7,0,0,7,7,0,0,0,10,0,12,1880,0,10
'GEORGE SLOUGH           ','CR 2100           ',32470105,95294656,1990,2,160,4.9,7.6,2.4,9.4,0,0,6,7,0,0,0,0,0,28,160,0,0
'ROGERS CREEK            ','CR 3600           ',32361784,95105967,2005,2,243,5.5,9.7,2.7,10.4,0,9.8,7,7,0,0,0,0,0,13,243,0,0
'INDIAN CREEK            ','CR 4750           ',32523567,95193027,1992,2,180,6.1,11.3,3,11.9,0,0,6,6,0,0,0,5,1,26,180,0,5
'HURRICANE CREEK         ','BUS 59            ',31200579,94430795,1949,5,24350,24.4,24.4,2.1,9.1,0,0,6,7,1,0,0,5,0,69,24350,0,5
'MCCALL CREEK            ','US 59             ',31153875,94444606,1947,4,30020,23.2,11.6,2.1,9.1,0,0,6,6,1,0,1962,34,1,56,30020,1,34
'MULBERRY BRANCH         ','US 69             ',31270908,94520660,1924,5,7490,40.2,26.8,3,6.4,0,0,7,6,1,0,1971,13,1,47,7490,1,13
'BILOXI BRANCH           ','US 69             ',31181095,94400291,1949,4,16980,19.5,20.4,3,10.1,20.4,22.3,6,6,1,0,1966,10,1,52,16980,1,10
'DRY CREEK               ','US 69             ',31122818,94291534,1957,2,5870,12.2,12.2,3,6.4,0,0,7,7,1,0,0,11,0,61,5870,0,11
'SANDY CREEK TRIBUTARY   ','US 69             ',31091625,94253655,1934,2,3060,12.5,11.7,3,9.8,11.7,13.1,6,6,1,0,1959,19,1,59,3060,1,19
'SANDY CREEK TRIBUTARY   ','SH 63             ',31092961,94251113,1924,2,5240,14.3,14.3,3,9.8,14.3,16.2,5,7,0,0,1963,15,0,55,5240,1,15
'MILL CREEK              ','SH 63             ',31090756,94234156,1925,2,2360,12.8,12.2,1.2,8.5,0,0,7,5,0,0,1962,21,1,56,2360,1,21
'BIG CREEK               ','SH 63             ',31073967,94185850,1960,2,2190,12.8,12.2,3.7,8.2,0,0,6,6,0,0,0,21,1,58,2190,0,21
'JACK CREEK RELIEF       ','SH 94             ',31192703,94484114,1936,4,11360,25,25.6,3,28.7,25.6,29.4,6,6,0,0,1983,21,1,35,11360,1,21
'CEDAR CREEK             ','SH 94             ',31200933,94444879,1951,4,13700,15.9,15.7,3,7,15.7,20,6,7,0,0,1968,6,0,50,13700,1,6
'JACK CREEK TRIBUTARY    ','SH 94             ',31191400,94492495,1983,4,10600,25.6,25.6,2.7,8.8,0,0,6,7,0,0,0,21,0,35,10600,0,21
'JACK CREEK TRIBUTARY    ','SH 94             ',31183926,94501463,1988,4,10600,25.6,25.8,1.8,9.1,25.8,31.7,6,7,0,0,0,21,0,30,10600,0,21
'JACK CREEK TRIBUTARY    ','SH 103            ',31221385,94481506,1939,2,4700,19.5,26,1.5,7,26,28.4,6,7,1,0,1974,18,0,44,4700,1,18
'JACK CREEK              ','SH 103            ',31220171,94472072,1939,4,7530,20.1,23.8,3,10.1,23.8,30,6,6,1,0,1974,12,1,44,7530,1,12
'ROWAN CREEK             ','SH 103            ',31232150,94531808,1941,2,3040,12.8,13.9,3,10.4,13.9,14.8,6,6,1,0,1960,18,1,58,3040,1,18
'ROCKY CREEK             ','SH 147            ',31105012,94223057,1937,2,1680,12.2,13.4,3,7,13.4,14,6,7,0,0,1962,11,0,56,1680,1,11
'HURRICANE CREEK TRIB    ','FM 58             ',31192781,94425199,1938,4,9940,15.5,15.5,1.5,7,15.5,19.9,5,6,0,0,1965,13,1,53,9940,1,13
'STOVALL CREEK           ','FM 1818           ',31095980,94442806,1985,2,820,8.5,8.5,3,12.8,0,0,6,7,0,0,0,9,0,33,820,0,9
'BEAR CREEK              ','FM 1818           ',31093468,94405370,1985,2,480,8.5,8.5,3,14.9,0,0,6,7,0,0,0,9,0,33,480,0,9
'TUBBS CREEK             ','FM 328            ',31181091,94321522,1987,2,1190,6.7,8.7,3,7,0,0,6,7,0,0,0,4,0,31,1190,0,4
'JORDAN BRANCH           ','SH 7              ',31252454,94543263,1961,2,2500,9.1,9.1,3,6.4,0,0,7,7,0,0,2000,18,0,18,2500,1,18
'WATSON BRANCH           ','SH 7              ',31241844,94563530,1961,2,1560,9.1,9.1,3,6.4,0,0,7,6,0,0,2000,31,1,18,1560,1,31
'PROCELLA CREEK          ','FM 843            ',31262545,94450057,1987,2,900,7.3,12.2,3,12.8,12.2,18.7,6,7,0,0,0,10,0,31,900,0,10
'PAPER MILL BRANCH       ','FM 842            ',31233182,94394774,1987,2,1740,7.3,8.7,3,6.7,8.7,18.8,6,7,0,0,0,11,0,31,1740,0,11
'WILLIS CREEK            ','FM 842            ',31233312,94394136,1987,2,1740,7.3,9.1,2.7,11.9,9.1,18.8,6,7,0,0,0,11,0,31,1740,0,11
'POSSUM WALK BRANCH      ','FM 844            ',31084207,94322691,1955,2,260,6.1,6.1,2.1,9.1,6.1,18.3,7,6,0,0,2009,10,1,9,260,1,10
'SUPULPA CREEK           ','FM 1819           ',31253948,94573984,2004,2,570,8.2,8.2,2.7,9.4,0,0,7,7,0,0,0,19,0,14,570,0,19
'CRAWFORD CREEK          ','FM 2021           ',31234146,94495669,1954,2,410,7.9,8.4,3,6.4,0,0,6,7,0,0,2006,14,0,12,410,1,14
'DRAW                    ','FM 2251           ',31221545,94440213,1957,2,1940,7.9,7.9,2.1,9.1,7.9,10.2,6,6,0,0,0,15,1,61,1940,0,15
